family,index,seed,valid_points
smooth_low_variation,0,20260513,2192
smooth_low_variation,1,20260514,2192
smooth_low_variation,2,20260515,2192
smooth_low_variation,3,20260516,2192
smooth_low_variation,4,20260517,2192
edge_rolloff,0,20261513,2192
edge_rolloff,1,20261514,2192
edge_rolloff,2,20261515,2192
edge_rolloff,3,20261516,2192
edge_rolloff,4,20261517,2192
local_bump,0,20262513,2192
local_bump,1,20262514,2192
local_bump,2,20262515,2192
local_bump,3,20262516,2192
local_bump,4,20262517,2192
mid_frequency_undulation,0,20263513,2192
mid_frequency_undulation,1,20263514,2192
mid_frequency_undulation,2,20263515,2192
mid_frequency_undulation,3,20263516,2192
mid_frequency_undulation,4,20263517,2192
