family,index,seed,final_score,history_rounds
smooth_low_variation,0,20280513,-0.0031642101737824977,17
smooth_low_variation,1,20280514,-0.0029546768800252166,17
smooth_low_variation,2,20280515,-0.0029688707528828587,17
smooth_low_variation,3,20280516,-0.0030567573781405226,17
smooth_low_variation,4,20280517,-0.0030557406486569584,17
edge_rolloff,0,20281513,0.0005743184002407766,17
edge_rolloff,1,20281514,-0.0009707894179036072,17
edge_rolloff,2,20281515,-0.0007553391595733713,17
edge_rolloff,3,20281516,-0.0014760705264725118,17
edge_rolloff,4,20281517,-0.0010277473572365397,17
local_bump,0,20282513,-0.0024128460675234367,17
local_bump,1,20282514,-0.0010410026317781975,17
local_bump,2,20282515,-0.0025431103599414437,17
local_bump,3,20282516,-0.0014783422820386764,17
local_bump,4,20282517,-0.0011708815413801967,17
mid_frequency,0,20283513,-0.0027104363666963843,17
mid_frequency,1,20283514,-0.0028170760527488382,17
mid_frequency,2,20283515,-0.002520327907271425,17
mid_frequency,3,20283516,-0.0024901570215698087,17
mid_frequency,4,20283517,-0.002751574413844309,17
