family,index,seed,method,n_points,degree,condition,success,global_rmse,local_rmse,low_rmse,p95_abs
smooth_low_variation,0,20260513,afp_poly_only,64,5,194.0584191614393,True,5.7383846407154206e-05,8.084052498387947e-05,4.98091105434319e-05,0.0001145244152068263
smooth_low_variation,0,20260513,afp_poly_residual_phs,64,5,194.0584191614393,True,2.045879214187189e-05,4.242379811761865e-05,8.524501235724635e-06,4.5884538013776755e-05
smooth_low_variation,0,20260513,hessian_weighted_poly_residual_phs,64,5,222.65911647339473,True,1.879360833128989e-05,3.349560227104707e-05,1.267603632392873e-05,4.496298280231098e-05
smooth_low_variation,0,20260513,afp_exchange_poly_residual_phs,64,5,201.2277639415004,True,1.6587580953896093e-05,3.397290610341676e-05,7.417488861421647e-06,3.201899921761662e-05
smooth_low_variation,1,20260514,afp_poly_only,64,5,178.9825520543919,True,0.0009401302257711464,0.0013976998656753939,0.0007848293803402672,0.0018892107890481843
smooth_low_variation,1,20260514,afp_poly_residual_phs,64,5,178.9825520543919,True,0.0002272142042893462,0.00047486015014828054,8.99190820414613e-05,0.0005050668483787676
smooth_low_variation,1,20260514,hessian_weighted_poly_residual_phs,64,5,192.8787847401267,True,0.00014997179031134956,0.00023741094759382697,0.00011835937201556409,0.0003433366729791326
smooth_low_variation,1,20260514,afp_exchange_poly_residual_phs,64,5,206.22965175388498,True,9.928151584690237e-05,0.0001660513517398441,7.362188333152105e-05,0.00019840327328072925
smooth_low_variation,2,20260515,afp_poly_only,64,5,188.54082172385316,True,0.0001856193002380975,0.0002416511793105651,0.0001686982213614418,0.00036405807694265483
smooth_low_variation,2,20260515,afp_poly_residual_phs,64,5,188.54082172385316,True,4.570152383247523e-05,9.066746827201699e-05,2.3516285088670542e-05,9.150429404136309e-05
smooth_low_variation,2,20260515,hessian_weighted_poly_residual_phs,64,5,205.72488627124554,True,3.302224397096908e-05,5.108905428789789e-05,2.6644187484177452e-05,7.575359810034076e-05
smooth_low_variation,2,20260515,afp_exchange_poly_residual_phs,64,5,199.92078736240362,True,3.645835603742031e-05,6.0061479774456525e-05,2.754441196496602e-05,7.83521220755957e-05
smooth_low_variation,3,20260516,afp_poly_only,64,5,190.24992668204044,True,0.0006051086843840555,0.0007855097309612445,0.0005507557845731975,0.0011910760254529753
smooth_low_variation,3,20260516,afp_poly_residual_phs,64,5,190.24992668204044,True,0.00010390968610713687,0.00021762220904935739,4.050962127948113e-05,0.00024777602638193115
smooth_low_variation,3,20260516,hessian_weighted_poly_residual_phs,64,5,180.72104554272946,True,7.090378401123073e-05,0.00012214073669363014,5.0501104866567744e-05,0.00015176297302049084
smooth_low_variation,3,20260516,afp_exchange_poly_residual_phs,64,5,222.59193758043207,True,8.246128542016828e-05,0.00014686057294960864,5.5691149547338264e-05,0.00016764086722193797
smooth_low_variation,4,20260517,afp_poly_only,64,5,186.919969586886,True,0.0003715437905868064,0.0004544439271623671,0.0003477022701688164,0.0006725399762262526
smooth_low_variation,4,20260517,afp_poly_residual_phs,64,5,186.919969586886,True,9.269709898327252e-05,0.00018561530747860243,4.6006690738008e-05,0.00020629717326634464
smooth_low_variation,4,20260517,hessian_weighted_poly_residual_phs,64,5,197.12081677288776,True,9.138411025018426e-05,0.00016785275113104746,5.819537567415071e-05,0.00020955902793376837
smooth_low_variation,4,20260517,afp_exchange_poly_residual_phs,64,5,198.8505375230674,True,6.922368171231926e-05,0.0001152390743263572,5.1635792155415065e-05,0.0001449986264450018
edge_rolloff,0,20261513,afp_poly_only,64,5,180.0971529580421,True,0.0010956512858682204,0.0017943297223773857,0.0008335442463348162,0.0021268136972172097
edge_rolloff,0,20261513,afp_poly_residual_phs,64,5,180.0971529580421,True,0.0007293425380978233,0.0014081075654193852,0.00041062540685715584,0.0015965990944543029
edge_rolloff,0,20261513,hessian_weighted_poly_residual_phs,64,5,195.32214282155087,True,0.0007018708354499705,0.0010858995958433308,0.0005662950817205779,0.0015725283433928724
edge_rolloff,0,20261513,afp_exchange_poly_residual_phs,64,5,204.800794394389,True,0.0006767548010185692,0.0011596399121971592,0.00048572188697819455,0.0014450863527570566
edge_rolloff,1,20261514,afp_poly_only,64,5,179.578195861112,True,0.0015754671826836441,0.002575552010758989,0.0012010320146616158,0.003174288880604744
