round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0002575498026420892,0.0010390493239468598,0.0017631473510887734,0.0024307960429660914,14.486381713056492,
1,0.00017079662186408363,0.0010085659721210617,0.0017103830390420812,0.0023937014317219132,14.451144985537377,True
2,0.00011535971738663641,0.000992684501543777,0.001688432536430942,0.0023426833881685745,14.517219139371353,True
3,0.00010214225432712788,0.0009896712542231,0.0016798928807837067,0.0023397967599860818,14.5170022841821,True
4,8.701911578133876e-05,0.0009932751821875101,0.0016871095382521059,0.0023362702858817207,14.653937561543492,True
5,8.016690594420334e-05,0.000997121423633395,0.0016760193568928076,0.002351471135149697,14.640888729802803,True
6,6.136785218862706e-05,0.000990092930134997,0.0016562484216780353,0.0023608943824965324,14.58111591980006,True
7,8.049049313981708e-06,0.0009700599246799272,0.0016101956021653398,0.0023160979813627537,14.471227989821765,True
8,-3.516425083107755e-05,0.0009778750853819216,0.0015830263076931088,0.002333671017424351,14.563354527223648,True
9,-0.00013353971007014657,0.0009641945577242855,0.001509219467559787,0.0021901604282627864,14.543988144330882,True
10,-0.00013726311697588893,0.00095583140490085,0.0015170635640196627,0.002191207878698446,14.56785399350167,True
11,-0.00013726311697588893,0.00095583140490085,0.0015170635640196627,0.002191207878698446,14.56785399350167,False
12,-0.00016608087605101416,0.0009542866847587612,0.0015212935454969254,0.002194503282393113,14.729599077030429,True
