round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.0021751012949004682,0.00024032202517472128,0.0004113638491424639,0.0004873004357573254,14.545299695230732,
1,-0.0021890594433201065,0.0002414998221920381,0.0004112878225208112,0.00048374086118140925,14.62052326268559,True
2,-0.0021898480544829267,0.00024140213623775322,0.0004111953842447599,0.00048344811111383583,14.62342325907196,True
3,-0.0021949192602671473,0.00023554008431230961,0.0004147511269231301,0.00045402395296760545,14.640803484436063,True
4,-0.0021969273034929925,0.0002359817944300066,0.00041448857887455926,0.0004542685705227799,14.65147696286235,True
5,-0.002487506181903859,0.00018064797109324798,0.0002656502363902514,0.00038380183582141557,14.934672183327043,True
6,-0.002487506181903859,0.00018064797109324798,0.0002656502363902514,0.00038380183582141557,14.934672183327043,False
7,-0.002496203081704682,0.00018377995888553642,0.00026443889556626484,0.0003834262844251957,14.98654857634868,True
8,-0.0025094366388417324,0.00018459525428756842,0.0002644841919577356,0.0003881521471709847,15.057064617392918,True
9,-0.002539180827619624,0.00019018871877441302,0.00026465023511356974,0.00041328999612928394,15.234749142651603,True
10,-0.002597850486839441,0.00018429728560971165,0.00024806513288038346,0.0003901681957592831,15.399129659528063,True
11,-0.00261738611955379,0.00017795498692960444,0.00022362837422950656,0.00037490921601813663,15.318475777794012,True
12,-0.002618413625701776,0.00019181209265392322,0.00022668654498882046,0.00042289641165894724,15.411247861711418,True
