round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.0028954951311183663,2.6485915220558446e-05,3.749651705961926e-05,6.378930987650892e-05,14.834884334052338,
1,-0.0029190366200110966,2.5515655191694626e-05,3.5065868970288965e-05,6.227304234635174e-05,14.933156589835688,True
2,-0.0029326291039968853,2.6101205464339918e-05,3.6125932555492243e-05,6.33643642099135e-05,15.010407142639078,True
3,-0.002987589722995935,2.5424741553952296e-05,3.5286223671840666e-05,6.09831581697513e-05,15.276789664780479,True
4,-0.002992759383741974,2.8029663905976407e-05,3.6445295703329764e-05,6.762378027955652e-05,15.322617012459732,True
5,-0.002992759383741974,2.8029663905976407e-05,3.6445295703329764e-05,6.762378027955652e-05,15.322617012459732,False
6,-0.0029932059921363554,2.8559494135058323e-05,3.68201392925999e-05,6.784184614623415e-05,15.329748267112667,True
7,-0.0029982291057062873,2.8512877106653835e-05,3.667585536217522e-05,6.705885126529441e-05,15.353765046237756,True
8,-0.003020449038853198,2.8847031433783104e-05,3.619044938800436e-05,6.795116245371147e-05,15.463623047762932,True
9,-0.0030268955721873586,2.879445665680503e-05,3.4185053161677316e-05,6.847633046068113e-05,15.483560463190882,True
10,-0.003053020457335955,2.847823784657924e-05,3.376859568484801e-05,6.826691188260167e-05,15.610105050021758,True
11,-0.003055166273350954,2.8140565769287676e-05,3.3478398952429815e-05,6.770922603444702e-05,15.617404589315788,True
12,-0.0030605551115842878,2.9158258587395225e-05,3.345709813750281e-05,6.778715110578146e-05,15.64930943968343,True
